State,State Code,Local Government,LGA Code,Ward,Ward Code,Polling Unit,PU Code,Full Polling Unit Code,Senatorial District,House of Representatives
Ogun,27,Abeokuta North,01,Ikereku,01,O.U.S Pry. School Ikereku I,001,27/01/01/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,O.U.S Pry. School Ikereku  Ii,002,27/01/01/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Holy Trinity Church I,003,27/01/01/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Holy Trinity Church Ii,004,27/01/01/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Ita Ogboni Idomapa I,005,27/01/01/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Ita Ogboni Idomapa Ii,006,27/01/01/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Ojude Agburin,007,27/01/01/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Aroworehin Mosque Ii,008,27/01/01/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Oke Eri Mosque,009,27/01/01/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Lasode House I,010,27/01/01/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Lasode House Ii,011,27/01/01/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Open Space Close To The Ajanaku'S,012,27/01/01/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,"Open Space Near Ita Ogboni, Ikereku",013,27/01/01/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,"Open Space Near Alaran Mosque, Ikereku",014,27/01/01/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,"Ojuferewa Square, Ago Odo.",015,27/01/01/015,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Nud Ikija  I,001,27/01/02/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Nud Ikija  Ii,002,27/01/02/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Holy Prophet Isale Ogun  I,003,27/01/02/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Holy Prophet Isale Ogun  Ii,004,27/01/02/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Ahmadiya Pry. School,005,27/01/02/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Open Space At Osunrinde'S House I,006,27/01/02/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Open Space At Osunrinde'S House Ii,007,27/01/02/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,"Near Adedotun Central Mosque, Ojude Agburin",008,27/01/02/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,"Open Space At Abiye Junction, Adedotun",009,27/01/02/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Open Space At Osunrinde'S House Ii,010,27/01/02/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Space At Itamorin  I,001,27/01/03/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Space At Itamorin  Ii,002,27/01/03/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Space At Kinoshi House  I,003,27/01/03/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Space At Kinoshi House  Ii,004,27/01/03/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Muslim Pry. School Ago-Oko  I,005,27/01/03/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Muslim Pry. School Ago-Oko  Ii,006,27/01/03/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Muslim Pry. School Ago-Oko  Iii,007,27/01/03/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Ita Balogun Mosque  I,008,27/01/03/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Ita Balogun Mosque  Ii,009,27/01/03/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Ita Balogun Mosque  Iii,010,27/01/03/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Araromi Mosque,011,27/01/03/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,"Open Space Near Public Water, Itamorin",012,27/01/03/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Open Space At Oba Adedamola Street,013,27/01/03/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Open Space In Front Of Tapo Mosque,014,27/01/03/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Near Alabukun House,015,27/01/03/015,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,"Open Space Near Tantolorun Mosque, Oke-Oko",016,27/01/03/016,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,"Open Space In Front Of Jehovah Witness, Kingdom Hall",017,27/01/03/017,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Muslim Pry. School Elega  I,001,27/01/04/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Muslim Pry. School Elega  Ii,002,27/01/04/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Muslim Pry. School Elega  Iii,003,27/01/04/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Muslim Pry. School Elega  Iv,004,27/01/04/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Ilugun High School  I,005,27/01/04/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Ilugun High School  Ii,006,27/01/04/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Ilugun High School  Iii,007,27/01/04/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Space At Leper Colony  I,008,27/01/04/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Space At Leper Colony  Ii,009,27/01/04/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Opeloyeru Mosque Imala,010,27/01/04/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,O.U.S Nur/Pry School Elega,011,27/01/04/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Open Space At Iyana Oja  Idofin,012,27/01/04/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,"Open Space Beside Sembad Filling Station, Idofin, Elega",013,27/01/04/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,School Premises A.N.L.G Nursery And Primary School F.H.E. Elega.,014,27/01/04/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,"A2 Field  In Front F.H.E   Rotary Club, Elega",015,27/01/04/015,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,"Open Space Beside Community Mosque, F.H.E. Elega.",016,27/01/04/016,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,"Open Space At B1 Junction By Golden School, Elega",017,27/01/04/017,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,Open Space At Odo-Eja Ilupeju Junction,018,27/01/04/018,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,"Open Space Near Kenny Ogun Lab Junction,Ilupeju",019,27/01/04/019,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Elega,04,"Open Space At Sikemi Oluwa Junction, Imala Elega",020,27/01/04/020,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Anlg School Ilugun Asalu  I,001,27/01/05/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Anlg School Ilugun Asalu  Ii,002,27/01/05/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Anlg School Ilugun Asalu  Iii,003,27/01/05/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Near Gbemisola'S House   I,004,27/01/05/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Near Gbemisola'S House   Ii,005,27/01/05/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Ile Eja  I,006,27/01/05/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Ile Eja  Ii,007,27/01/05/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Isotakun Mosque, Iberekodo",008,27/01/05/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Booth Opp. The Isola'S (Close To Ejialamala),009,27/01/05/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Near Chief Tairu'S House  I,010,27/01/05/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Near Chief Tairu'S House  Ii,011,27/01/05/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Ayo Bus Stop Along Oke-Ona Road,012,27/01/05/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,O.U.S. School Ikija  I,013,27/01/05/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,O.U.S. School Ikija  Ii,014,27/01/05/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Anlg School Akomoje I,015,27/01/05/015,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Anlg School Akomoje Ii,016,27/01/05/016,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Ebenezer Grammar School,017,27/01/05/017,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Front Of Atambala'S House,018,27/01/05/018,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Maternity Centre,Iberekodo",019,27/01/05/019,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space At Irepodun Street, Ile Ogboni,Ilugun Asalu",020,27/01/05/020,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space At Lasode Junction, Ilugun",021,27/01/05/021,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space At Kokumo Junction, Ilugun",022,27/01/05/022,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Front Of Central Mosque, Iberekodo",023,27/01/05/023,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space Opp. Mikenid Petrol Station, Iberekodo",024,27/01/05/024,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space At Arogundade Junction, Near Mokola Bridge",025,27/01/05/025,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space At Elewa Faaji De, Mokola",026,27/01/05/026,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space In Front Of Ogun State Water Corporation, Arakanga.",027,27/01/05/027,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space At Temidire Area, Oke Arakanga",028,27/01/05/028,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space Behind Total Petrol Station, Iberekodo",029,27/01/05/029,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Front Of Ogunbona House, Akomoje",030,27/01/05/030,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space At Alagbode Junction,  Akomoje",031,27/01/05/031,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Open Space At Idofin Junction, Iyan Reservoire",032,27/01/05/032,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,Front Of Atambala'S House Ii,033,27/01/05/033,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ilugun/Iberekodo,05,"Front Of Oke Omo House, Iberekodo",034,27/01/05/034,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Space At Customary Court Agura  I,001,27/01/06/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Space At Customary Court Agura  Ii,002,27/01/06/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,A.U.D. Kemta Ilawo  I,003,27/01/06/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,A.U.D. Kemta Ilawo  Ii,004,27/01/06/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Near Asunara Mosque  I,005,27/01/06/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Near Asunara Mosque  Ii,006,27/01/06/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Space At Oju Odumaka,007,27/01/06/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Near Isale Ago Mosque,008,27/01/06/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Holy Trinity Ojesimi,009,27/01/06/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Open Space Near Bobagunwa'S House,010,27/01/06/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,Open Space Near Agura Palace,011,27/01/06/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,"Aud Pry. School 1, Ona-Gbooro",012,27/01/06/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Gbagura,06,"Open Space At Ikereku Iwere, Gbagura",013,27/01/06/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Near Old Slaughter'S Slab  I,001,27/01/07/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Apata Mosque Ijaye Obirinti,002,27/01/07/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Unity High School Ago-Ika  I,003,27/01/07/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Unity High School Ago-Ika  Ii,004,27/01/07/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Space At Ago-Ika Junction  I,005,27/01/07/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Space At Ago-Ika Junction  Ii,006,27/01/07/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Near Ita Nla Mosque/Jaye Kukudi   I,007,27/01/07/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Near Ita Nla Mosque/Jaye Kukudi   Ii,008,27/01/07/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Near Refuse Deport Ago-Ika,009,27/01/07/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Alasalatu Pry. School,010,27/01/07/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Opposite Odole'S Comp,011,27/01/07/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,"Open Space In Front Of Adegbenro'S Mosque, Ikereku-Idan",012,27/01/07/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,"Near Olohun-Sunmibare Mosque, Ijaye-Obiritin",013,27/01/07/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,"Open Space At Ijofa Junction, Ijofa",014,27/01/07/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,N.U.D Primary School Ago Ika,015,27/01/07/015,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,"Near Aigoro Compound,Idi Oparun, Ago-Ika,",016,27/01/07/016,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,"Near Adenekan Hall, Ago-Ika",017,27/01/07/017,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,Open Space At Idi-Agbon Ago Ika,018,27/01/07/018,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,"Alasalatu Primary School Ii, Ojokodo.",019,27/01/07/019,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ika,07,"Open Space At Enugada, Ago-Ika",020,27/01/07/020,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,St. John'S School Lafenwa   I,001,27/01/08/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,St. John'S School Lafenwa   Ii,002,27/01/08/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,Apostolic Church Afunta I,003,27/01/08/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,Apostolic Church Afunta Ii,004,27/01/08/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,Near Yusufu'S House I,005,27/01/08/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,Near Yusufu'S House Ii,006,27/01/08/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,Front Of Alh. Adegbenro'S House,007,27/01/08/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,Near Baale'S House   I,008,27/01/08/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,Near Baale'S House   Ii,009,27/01/08/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,"Near Biobaku House, Lafenwa",010,27/01/08/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,"Open Space At Railway Quarters, Lafenwa",011,27/01/08/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,"Open Space In Front Of Titilope Mosque, Abule-Otun",012,27/01/08/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,"Open Space In Front Of Transformer, Gaa Sabo",013,27/01/08/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Lafenwa,08,"Open Space At Akindele Junction, Gaa Sabo",014,27/01/08/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Lafenwa High School   I,001,27/01/09/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Lafenwa High School   Ii,002,27/01/09/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Lafenwa High School   Iii,003,27/01/09/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Front Of Seriki House  I,004,27/01/09/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Front Of Seriki House  Ii,005,27/01/09/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Holy Trinity Sabo  I,006,27/01/09/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Holy Trinity Sabo  Ii,007,27/01/09/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Baale' House Abule-Oke  I,008,27/01/09/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Baale' House Abule-Oke  Ii,009,27/01/09/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Open Space At Apena'S Papa Maru (Near Apena'S House Papa Maru),010,27/01/09/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Olumo Pry. School,011,27/01/09/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Near Olalomi Mosque,012,27/01/09/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Near Korodo Blocks,013,27/01/09/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space At Ifesowapo Junction, Besdide Ogun Radio",014,27/01/09/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Open Space In Front Of Proposed Comm. Health Centre Olateju Olosun,015,27/01/09/015,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space At Ajibande Junction, Aiyetoro  Garage",016,27/01/09/016,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space At Metier Guest House, Ogun Radio",017,27/01/09/017,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"School Premises Premier Grammar School, Lafenwa.",018,27/01/09/018,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"School Premises Community Primary School, Sodeke Titun",019,27/01/09/019,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space At Luro Estate Gate, Luro",020,27/01/09/020,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Bashorun Moshood Abiola School, Sabo",021,27/01/09/021,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Open Space At Boludayo Junction Sabo.,022,27/01/09/022,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space At Olorunwa Junction, Papa Marun",023,27/01/09/023,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Open Space At Kinito Alafia Junction Sabo,024,27/01/09/024,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space In Front Of Community Central Mosque, Abule Oke Sabo.",025,27/01/09/025,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space Near Temidire Central Mosque, Sabo",026,27/01/09/026,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Community Primary School, Obasa",027,27/01/09/027,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Olumo Pry School Ii Sabo,028,27/01/09/028,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Opebiyi Junction, Agbo Eran",029,27/01/09/029,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,Community Hall Ifeoluwa Odunjo Araromi,030,27/01/09/030,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space At Mabinu Ori Avenue, Sabo",031,27/01/09/031,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Sabo,09,"Open Space At Bajomo Street, Ayetoro Garage",032,27/01/09/032,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Anlg School Ago-Owu   I,001,27/01/10/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Anlg School Ago-Owu   Ii,002,27/01/10/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Olowu'S Palace  I,003,27/01/10/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Olowu'S Palace  Ii,004,27/01/10/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Near Agbogunleri'S Mosque,005,27/01/10/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Jeboda'S Mosque,006,27/01/10/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Amukankan  I,007,27/01/10/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Amukankan  Ii,008,27/01/10/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Open Space Opp. Ogunsebi Erepaja'S House,009,27/01/10/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Opp. Space Opp. Orukan'S Compound,010,27/01/10/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Opp. Space Behind Egbeyemi'S House,011,27/01/10/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Olufakun Compound (Open Space),012,27/01/10/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Open Space At Lara'S Compound,013,27/01/10/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Jeboda'S Court Ii,014,27/01/10/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,Front Of Akintobi'S House,015,27/01/10/015,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,"Open Space Beside Akinside House , Amukankan",016,27/01/10/016,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Oke-Ago Owu,10,"Open Space Opposite Obalasako Compound, Amukankan",017,27/01/10/017,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Totoro/Sokori,11,Totoro Post Office  I,001,27/01/11/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Totoro/Sokori,11,Totoro Post Office  Ii,002,27/01/11/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Totoro/Sokori,11,Totoro Post Office  Iii,003,27/01/11/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Totoro/Sokori,11,Owu Baptist Church,004,27/01/11/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Totoro/Sokori,11,Front Of African Church/Ta-Olori  I,005,27/01/11/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Totoro/Sokori,11,Front Of African Church/Ta-Olori  Ii,006,27/01/11/006,Ogun Central,Owode/Odeda
